CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
7/19/17,,,,,,,,11/20/15,,,
1/11/17,,,,,,,,5/6/16,1/23/18,,
2/21/17,,,,,,,,3/17/16,2/5/18,,
7/12/17,,,,,,,,4/12/16,1/3/18,,
12/29/16,,,,,,,,5/26/16,2/23/18,,
4/14/17,,,,,,,,12/7/15,9/24/17,,
3/29/18,,,,,,,,6/16/16,,,
3/1/18,,,,,,,,3/18/16,12/26/17,,
12/1/17,,,,,,,,11/19/15,2/12/18,,
4/3/17,,,,,,,,6/6/16,3/8/18,5/16/18,5/17/18
7/3/17,,,,,,,,1/28/16,,,
12/28/16,,,,,,,6/8/18,11/2/15,2/8/18,4/10/18,4/10/18
2/27/17,,,,,,,,2/18/16,,,
2/2/18,,,,,,,,3/10/16,12/26/17,3/1/18,3/1/18
3/21/17,,,,,,,6/25/18,12/3/15,1/23/18,4/18/18,4/18/18
4/20/18,,,,,,,,6/23/16,2/3/18,4/18/18,4/18/18
8/29/17,,,,,,,,6/22/16,1/23/18,,
1/22/18,,,,,,,7/5/18,1/27/16,10/15/17,3/20/18,3/20/18
6/21/17,,,6/30/17,,,,,9/30/15,11/1/17,,
1/24/18,5/22/18,5/22/18,,,,Yes,,12/23/15,2/9/18,4/10/18,4/10/18
7/27/17,,,,,,,,4/19/16,3/5/18,Pend ng,
2/5/18,,,,,,,,6/10/16,,,
7/24/17,,,,,,,,3/21/16,10/22/17,,
2/1/17,,,,,,,,3/25/16,12/8/17,,
5/19/17,,,,,,,,6/24/16,1/22/18,,
6/28/17,,,,,,,,3/17/16,12/26/17,,
2/21/17,,,,,,,,4/8/16,1/24/18,,
8/2/17,,,8/14/17,,,,,5/10/16,1/9/18,,
5/22/17,,,,,,,,3/28/16,3/5/18,,
2/12/18,,,,,,,,5/3/16,2/5/18,,
1/12/18,,,,,,,,6/14/16,2/2/18,5/2/18,5/2/18
2/24/17,,,,,,,,3/22/16,12/28/18,,
1/19/18,,,,,,,,11/17/15,9/19/17,4/10/18,4/10/18
5/1/17,,,,,,,,8/19/16,8/30/17,5/11/18,5/11/18
3/30/18,,,,,,,,1/28/16,1/10/18,4/10/18,4/10/18
2/1/18,,,,,,,,4/22/16,,,
8/23/17,,,,,,,,3/21/16,12/23/17,,
4/4/18,,,,,,,,11/13/15,9/14/17,,
4/23/18,,,,,,,,12/11/15,9/6/17,,
6/30/17,,,,,,,,6/10/16,1/25/18,4/10/18,4/10/18
8/15/17,,,,,,,,4/7/16,1/24/18,,
4/13/18,,,,,,,,5/26/16,1/4/18,,
6/9/17,,,,,,,6/26/18,6/13/16,1/25/18,,
3/20/17,,,,,,,,3/29/16,1/10/18,3/20/18,3/20/18
2/15/17,,,,,,,,3/3/16,12/31/17,,
1/12/18,,,,,,,,12/22/15,2/28/18,,
8/30/17,5/4/18,5/8/18,,,,Yes,,4/19/16,1/10/18,5/23/18,5/23/18
11/20/17,5/30/18,,,,,Yes,,2/19/16,1/16/18,3/20/18,3/20/18
3/29/18,,,,,,,,3/23/16,12/26/17,,
4/19/18,,,,,,,,5/20/16,2/10/18,4/10/18,4/10/18
4/20/18,,,,,,,,12/29/15,2/15/18,,
8/29/17,,,,,,,,4/14/16,2/10/18,,
11/3/17,,,,,,,,12/8/15,9/3/17,,
2/7/17,,,,,,,,6/2/16,2/8/18,,
7/5/17,,,,,,,,1/11/16,,,
3/27/17,,,,,,,,3/1/16,1/2/18,,
3/7/17,,,,,,,,2/19/16,11/27/17,,
6/26/17,,,,,,,,12/1/15,,,
5/4/17,,,,,,,6/21/18,3/24/16,1/22/18,4/10/18,4/10/18
